,INSTNM,CONTROL,PREDDEG,MENONLY,WOMENONLY,DEBT_MDN,GRAD_DEBT_MDN,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT,C150_L4,LATITUDE,LONGITUDE,NPT4_PRIV,HSI,C150_L4_POOLED,Cluster
0,Alabama A & M University,1.0,3.0,0.0,0.0,19500.0,33611.5,0.44471387,0.491894396,0.617647059,0.5560809561542526,34.7834,-86.5685,17921.935411020775,0.0,0.5593483426558103,2
1,University of Alabama at Birmingham,1.0,3.0,0.0,0.0,16250.0,23117.0,0.756266667,0.779281931,0.812947799,0.5560809561542526,33.5022,-86.8092,17921.935411020775,0.0,0.5593483426558103,1
2,Amridge University,2.0,3.0,0.0,0.0,10500.0,26995.0,0.647249191,0.569395018,0.760517799,0.5560809561542526,32.3626,-86.174,7455.0,0.0,0.5593483426558103,3
3,University of Alabama in Huntsville,1.0,3.0,0.0,0.0,16500.0,24738.0,0.781997919,0.785966981,0.822929172,0.5560809561542526,34.7228,-86.6384,17921.935411020775,0.0,0.5593483426558103,1
4,Alabama State University,1.0,3.0,0.0,0.0,15854.5,33452.0,0.331198862,0.38562999,0.533038255,0.5560809561542526,32.3643,-86.2957,17921.935411020775,0.0,0.5593483426558103,2
5,The University of Alabama,1.0,3.0,0.0,0.0,17750.0,24000.0,0.8139413,0.828183213,0.839720415,0.5560809561542526,33.2144,-87.5458,17921.935411020775,0.0,0.5593483426558103,1
6,Central Alabama Community College,1.0,2.0,0.0,0.0,7554.0,16782.101893453146,0.438401776,0.488861386,0.557803468,0.0909,32.9244,-85.9465,17921.935411020775,0.0,0.1187,0
7,Athens State University,1.0,3.0,0.0,0.0,14000.0,18832.0,0.767649075,0.786516854,0.847346939,0.5560809561542526,34.8056,-86.9651,17921.935411020775,0.0,0.5593483426558103,1
8,Auburn University at Montgomery,1.0,3.0,0.0,0.0,10750.0,21791.0,0.628856194,0.643290999,0.712289157,0.5560809561542526,32.3699,-86.1774,17921.935411020775,0.0,0.5593483426558103,3
9,Auburn University,1.0,3.0,0.0,0.0,18250.0,22250.0,0.882455377,0.880579297,0.912371134,0.5560809561542526,32.6002,-85.4924,17921.935411020775,0.0,0.5593483426558103,1
10,Birmingham Southern College,2.0,3.0,0.0,0.0,21500.0,27000.0,0.84984985,0.834586466,0.928571429,0.5560809561542526,33.5155,-86.8536,22994.0,0.0,0.5593483426558103,1
